DISTRICT_ID,DISTRICT,STATE_ID
265,GARO HILLS SOUTH W.,23
266,GARO HILLS WEST,23
267,GAUTAMBUDH NAGAR,33
268,GAYA,5
269,GHAZIABAD,33
270,GHAZIPUR,33
271,GIRIDIH,16
272,GOALPARA,4
273,GODDA,16
274,GOLAGHAT,4
275,GOMATI,32
276,GONDA,33
277,GONDIA,21
278,GOPALGANJ,5
279,GORAKHPUR,33
280,GRP,13
281,GRP RAIPUR,7
282,GRP(RLY),10
283,GULBARGA,17
284,GUMALA,16
285,GUMLA,16
286,GUNA,20
287,GUNTAKAL RLY.,2
288,GUNTUR,2
289,GUNTUR URBAN,2
290,GURDASPUR,28
291,GURGAON,13
292,GUWAHATI CITY,4
293,GWALIOR,20
294,HAILAKANDI,4
295,HAMIRPUR,14
296,HAMREN,4
297,HANDWARA,15
298,HANUMANGARH,29
299,HAPUR,33
300,HARDA,20
301,HARDOI,33
302,HARIDWAR,34
303,HASSAN,17
304,HATHRAS,33
305,HAVERI,17
306,HAZARIBAGH,16
307,HIMATNAGAR,12
308,HINGOLI,21
309,HISAR,13
310,HISSAR,13
311,HOOGHLY,35
312,HOSHANGABAD,20
313,HOSHIARPUR,28
314,HOWRAH,35
315,HOWRAH CITY,35
316,HOWRAH G.R.P.,35
317,HYDERABAD CITY,2
318,I&P HARYANA,13
319,I.G.I.AIRPORT,10
320,IDUKKI,18
321,IGI AIRPORT,10
322,IMPHAL EAST,22
323,IMPHAL WEST,22
324,IMPHAL(EAST),22
325,IMPHAL(WEST),22
326,INDORE,20
327,INDORE RLY.,20
328,J.P.NAGAR,33
329,JABALPUR,20
330,JABALPUR RLY.,20
331,JAGATSINGHPUR,26
332,JAGDALPUR,7
333,JAGRAON,28
334,JAINTIA HILLS,23
335,JAINTIA HILLS EAST,23
336,JAINTIA HILLS WEST,23
337,JAIPUR,29
338,JAIPUR EAST,29
339,JAIPUR NORTH,29
340,JAIPUR RURAL,29
341,JAIPUR SOUTH,29
342,JAIPUR WEST,29
343,JAISALMER,29
344,JAJPUR,26
345,JALANDHAR,28
346,JALANDHAR RURAL,28
347,JALAUN,33
348,JALGAON,21
349,JALNA,21
350,JALORE,29
351,JALPAIGURI,35
352,JAMALPUR RLY.,5
353,JAMMU,15
354,JAMNAGAR,12
355,JAMSHEDPUR,16
356,JAMSHEDPUR RLY.,16
357,JAMTARA,16
358,JAMUI,5
359,JANJGIR,7
360,JASHPUR,7
361,JAUNPUR,33
362,JEHANABAD,5
363,JHABUA,20
364,JHAJJAR,13
365,JHALAWAR,29
366,JHANSI,33
367,JHARGRAM,35
368,JHARSUGUDA,26
369,JHUNJHUNU,29
370,JIND,13
371,JODHPUR,29
372,JODHPUR CITY,29
373,JODHPUR EAST,29
374,JODHPUR RURAL,29
375,JODHPUR WEST,29
376,JORHAT,4
377,JUNAGADH,12
378,K.G.F.,17
379,K/KUMEY,3
380,KABIRDHAM,7
381,KAITHAL,13
382,KALAHANDI,26
383,KAMENG EAST,3
384,KAMENG WEST,3
385,KAMRUP,4
386,KANCHIPURAM,31
387,KANDHAMAL,26
388,KANGRA,14
389,KANKER,7
390,KANNAUJ,33
391,KANNUR,18
392,KANPUR DEHAT,33
393,KANPUR NAGAR,33
394,KANSHIRAM NAGAR,33
395,KANYAKUMARI,31
396,KAPURTHALA,28
397,KARAIKAL,27
398,KARAULI,29
399,KARBI ANGLONG,4
400,KARGIL,15
401,KARIMGANJ,4
402,KARIMNAGAR,2
403,KARNAL,13
404,KARUR,31
405,KASARGOD,18
406,KASGANJ,33
407,KATHUA,15
408,KATIHAR,5
409,KATIHAR RLY.,5
410,KATNI,20
411,KAUSHAMBI,33
412,KENDRAPARA,26
413,KEONJHAR,26
414,KHAGARIA,5
415,KHAMMAM,2
416,KHANDWA,20
417,KHANNA,28
418,KHARAGPUR G.R.P.,35
419,KHARGON,20
420,KHASI HILLS EAST,23
421,KHASI HILLS SOUTH W.,23
422,KHASI HILLS WEST,23
423,KHEDA NORTH,12
424,KHIRI,33
425,KHOWAI,32
426,KHUNTI,16
427,KHURDA,26
428,KINNAUR,14
429,KIPHIRE,25
430,KISHANGANJ,5
431,KISHTWAR,15
432,KODAGU,17
433,KODERMA,16
434,KOHIMA,25
435,KOKRAJHAR,4
436,KOLAR,17
437,KOLASIB,24
438,KOLHAPUR,21
439,KOLKATA,35
440,KOLLAM,18
441,KOLLAM COMMR.,18
442,KOLLAM RURAL,18
443,KONDAGAON,7
444,KOPPAL,17
445,KORAPUT,26
446,KORBA,7
447,KORIYA,7
448,KOTA,29
449,KOTA CITY,29
450,KOTA RURAL,29
451,KOTTAYAM,18
452,KOZHIKODE,18
453,KOZHIKODE COMMR.,18
454,KOZHIKODE RURAL,18
455,KRISHNA,2
456,KRISHNAGIRI,31
457,KULGAM,15
458,KULLU,14
459,KUPWARA,15
460,KURNOOL,2
461,KURUKSHETRA,13
462,KUSHI NAGAR,33
463,KUTCH,12
464,KUTCH (EAST(G)),12
465,KUTCH (WEST-BHUJ),12
466,LAHAUL-SPITI,14
467,LAKHIMPUR,4
468,LAKHISARAI,5
469,LAKSHADWEEP,19
470,LALITPUR,33
471,LATEHAR,16
472,LATUR,21
473,LAWNGTLAI,24
474,LEH,15
475,LOHARDAGGA,16
476,LOHIT,3
477,LONGDING,3
478,LONGLENG,25
479,LUCKNOW,33
480,LUDHIANA,28
481,LUDHIANA RURAL,28
482,LUNGLEI,24
483,MADHEPURA,5
484,MADHUBANI,5
485,MADURAI RURAL,31
486,MADURAI URBAN,31
487,MAHABOOBNAGAR,2
488,MAHARAJGANJ,33
489,MAHASAMUND,7
490,MAHENDERGARH,13
491,MAHENDRAGARH,13
492,MAHOBA,33
493,MAINPURI,33
494,MAJITHA,28
495,MALAPPURAM,18
496,MALDA,35
497,MALKANGIR,26
498,MAMIT,24
499,MANDI,14
500,MANDLA,20
501,MANDSAUR,20
502,MANDYA,17
503,MANGALORE CITY,17
504,MANSA,28
505,MATHURA,33
506,MAU,33
507,MAYURBHANJ,26
508,MEDAK,2
509,MEERUT,33
510,MEHSANA,12
511,METRO RAIL,10
512,MEWAT,13
513,MIDNAPUR,35
514,MIRZAPUR,33
515,MOGA,28
516,MOKOKCHUNG,25
517,MON,25
518,MORADABAD,33
519,MORENA,20
520,MORIGAON,4
521,MOTIHARI,5
522,MUKTSAR,28
523,MUMBAI,21
524,MUMBAI COMMR.,21
525,MUMBAI RLY.,21
526,MUNGELI,7
527,MUNGER,5
528,MURSHIDABAD,35
529,MUZAFFARNAGAR,33
530,MUZAFFARPUR,5
531,MUZAFFARPUR RLY.,5
532,MYSORE COMMR.,17
533,MYSORE RURAL,17
534,N.C. HILLS,4
535,N.C.HILLS,4
536,NADIA,35
537,NAGAON,4
538,NAGAPATTINAM,31
539,NAGAUR,29
540,NAGPUR COMMR.,21
541,NAGPUR RLY.,21
542,NAGPUR RURAL,21
543,NAINITAL,34
544,NALANDA,5
545,NALBARI,4
546,NALGONDA,2
547,NAMAKKAL,31
548,NANDED,21
549,NANDURBAR,21
550,NARAYANPUR,7
551,NARMADA,12
552,NARSINGHPUR,20
553,NASIK COMMR.,21
554,NASIK RURAL,21
555,NAUGACHIA,5
556,NAVI MUMBAI,21
557,NAVSARI,12
558,NAWADAH,5
559,NAWAN SHAHR,28
560,NAYAGARH,26
561,NEEMUCH,20
562,NELLORE,2
563,NEW DELHI,10
564,NICOBAR,1
565,NILGIRIS,31
566,NIZAMABAD,2
567,NORTH,32
568,NORTH EAST,10
569,NORTH GOA,11
570,NORTH WEST,10
571,NORTH-EAST,10
572,NORTH-WEST,10
573,NOWRANGPUR,26
574,NUAPADA,26
575,OSMANABAD,21
576,OUTER,10
577,PAKUR,16
578,PALAKKAD,18
579,PALAMU,16
580,PALANPUR,12
581,PALI,29
582,PALWAL,13
583,PANCHKULA,13
584,PANCHMAHAL,12
585,PANCHSHIL NAGAR,33
586,PANIPAT,13
587,PANNA,20
588,PAPUM PARE,3
589,PARBHANI,21
590,PASCHIM MIDNAPUR,35
591,PATAN,12
592,PATHANAMTHITTA,18
593,PATHANKOT,28
594,PATIALA,28
595,PATNA,5
596,PATNA RLY.,5
597,PAURI GARHWAL,34
598,PERAMBALUR,31
599,PEREN,25
600,PHEK,25
601,PILIBHIT,33
602,PITHORAGARH,34
603,PONDICHERRY,27
604,POONCH,15
605,PORBANDAR,12
606,PRABUDDH NAGAR,33
607,PRAKASHAM,2
608,PRATAPGARH,29
609,PUDUCHERRY,27
610,PUDUKOTTAI,31
611,PULWAMA,15
612,PUNE COMMR.,21
613,PUNE RLY.,21
614,PUNE RURAL,21
615,PURAB MIDNAPUR,35
616,PURI,26
617,PURNEA,5
618,PURULIA,35
619,R.P.O.,4
620,RAIBAREILLY,33
621,RAICHUR,17
622,RAIGAD,21
623,RAIGARH,7
624,RAILWAYS,17
625,RAILWAYS JAMMU,15
626,RAILWAYS KASHMIR,15
627,RAILWAYS KATRA,15
628,RAILWAYS KMR,15
629,RAILWAYSKMR,15
630,RAIPUR,7
631,RAISEN,20
632,RAJAHMUNDRY,2
633,RAJGARH,20
634,RAJKOT COMMR.,12
635,RAJKOT RURAL,12
636,RAJNANDGAON,7
637,RAJOURI,15
638,RAJSAMAND,29
639,RAMABAI NAGAR,33
640,RAMANAGAR,17
641,RAMBAN,15
642,RAMGARH,16
643,RAMNATHAPURAM,31
644,RAMPUR,33
645,RANCHI,16
646,RANGA REDDY,2
647,RATLAM,20
648,RATNAGIRI,21
649,RAYAGADA,26
650,REASI,15
651,REWA,20
652,REWARI,13
653,RI-BHOI,23
654,ROHTAK,13
655,ROHTAS,5
656,ROPAR,28
657,ROURKELA,26
658,RUDRA PRAYAG,34
659,RURAL,3
660,S.T.F.,10
661,SAGAR,20
662,SAHARANPUR,33
663,SAHARSA,5
664,SAHEBGANJ,16
665,SAIHA,24
666,SALEM RURAL,31
667,SALEM URBAN,31
668,SAMASTIPUR,5
669,SAMBA,15
670,SAMBALPUR,26
671,SAMBHAL,33
672,SANGLI,21
673,SANGRUR,28
674,SANT KABIRNAGAR,33
675,SARAIKELA,16
676,SARAN,5
677,SARGUJA,7
678,SAS NGR,28
679,SATARA,21
680,SATNA,20
681,SAWAI MADHOPUR,29
682,SBS NAGAR,28
683,SEALDAH G.R.P.,35
684,SECUNDERABAD RLY.,2
685,SENAPATI,22
686,SEONI,20
687,SERCHHIP,24
688,SHAHDOL,20
689,SHAHJAHANPUR,33
690,SHAJAPUR,20
691,SHAMLI,33
692,SHEIKHPURA,5
693,SHEOHAR,5
694,SHEOPUR,20
695,SHIMLA,14
696,SHIMOGA,17
697,SHIVPURI,20
698,SHOPIAN,15
699,SHRAWASTI,33
700,SIANG EAST,3
701,SIANG UPPER,3
702,SIANG WEST,3
703,SIBSAGAR,4
704,SIDHARTHNAGAR,33
705,SIDHI,20
706,SIHORE,20
707,SIKAR,29
708,SILIGURI G.R.P.,35
709,SILIGURI_PC,35
710,SIMDEGA,16
711,SINDHUDURG,21
712,SINGRAULI,20
713,SIPAHIJALA,32
714,SIRMAUR,14
715,SIROHI,29
716,SIRSA,13
717,SITAMARHI,5
718,SITAPUR,33
719,SIVAGANGAI,31
720,SIWAN,5
721,SOLAN,14
722,SOLAPUR COMMR.,21
723,SOLAPUR RURAL,21
724,SONBHADRA,33
725,SONEPUR,26
726,SONIPAT,13
727,SONITPUR,4
